"","month_st","month_rp","year_st","mean_size"
"161",4,6,2018,55.7108167770419
"162",4,6,2019,53.7677595628415
"163",4,6,2020,29.050796812749
"164",5,1,2013,120.571428571429
"165",5,1,2014,87.75
"166",5,1,2015,128.540669856459
"167",5,1,2016,133.951428571429
"168",5,1,2017,104.574094401756
"169",5,1,2018,110.872062663185
"170",5,1,2019,77.1178290213723
"171",5,2,2013,209.166666666667
"172",5,2,2014,67.3103448275862
"173",5,2,2015,91.561320754717
"174",5,2,2016,114.051724137931
"175",5,2,2017,113.116985376828
"176",5,2,2018,107.406642728905
"177",5,2,2019,89.4761273209549
"178",5,3,2013,51.125
"179",5,3,2014,82.2903225806452
"180",5,3,2015,80.743961352657
"181",5,3,2016,78.0702247191011
"182",5,3,2017,61.9036954087346
"183",5,3,2018,66.8829311885612
"184",5,3,2019,46.4854771784232
"185",5,4,2013,9.33333333333333
"186",5,4,2014,33.0322580645161
"187",5,4,2015,28.9042553191489
"188",5,4,2016,23.6422287390029
"189",5,4,2017,18
"190",5,4,2018,18.7770700636943
"191",5,4,2019,12.1067600989283
"192",5,5,2013,12
"193",5,5,2014,21.5
"194",5,5,2015,30.2692307692308
"195",5,5,2016,31.8165467625899
"196",5,5,2017,26.0901162790698
"197",5,5,2018,30.28125
"198",5,5,2019,18.0017574692443
"199",5,5,2020,12.2582083502229
"200",5,6,2013,68.75
"201",5,6,2014,24.15
"202",5,6,2015,46.792
"203",5,6,2016,61.7872340425532
"204",5,6,2017,51.4170305676856
"205",5,6,2018,59.2291262135922
"206",5,6,2019,42.1463730569948
"207",5,6,2020,39.1192975758733
"208",6,1,2013,33.3333333333333
"209",6,1,2014,124.897959183673
"210",6,1,2015,123.905956112853
"211",6,1,2016,124.530612244898
"212",6,1,2017,103.990384615385
"213",6,1,2018,106.851581508516
"214",6,1,2019,74.410064516129
"215",6,2,2013,5
"216",6,2,2014,108.7
"217",6,2,2015,94.88
"218",6,2,2016,114.048780487805
"219",6,2,2017,93.5185185185185
"220",6,2,2018,103.958927074602
"221",6,2,2019,89.4417882645141
"222",6,3,2013,102.333333333333
"223",6,3,2014,64.8490566037736
"224",6,3,2015,81.3003300330033
"225",6,3,2016,85.3684210526316
"226",6,3,2017,56.2921108742004
"227",6,3,2018,61.669442131557
"228",6,3,2019,46.3149113660063
"229",6,4,2013,32.5
"230",6,4,2014,19.0566037735849
"231",6,4,2015,31.8345070422535
"232",6,4,2016,28.4139650872818
"233",6,4,2017,18.2988888888889
"234",6,4,2018,19.0043140638481
"235",6,4,2019,13.2002346499804
